,en,sens
0,10.2709941864,
1,10.4554491043,
2,10.6432170868,
3,10.834356308,
4,11.0289287567,
5,11.2269945145,
6,11.4286174774,
7,11.6338615417,
8,11.842792511,
9,12.0554742813,
10,12.2719764709,
11,12.4923658371,
12,12.7167139053,
13,12.9450912476,
14,13.1775693893,
15,13.4142227173,
16,13.6551265717,
17,13.9003553391,
18,14.1499891281,
19,14.4041061401,
20,14.6627864838,
21,14.9261131287,
22,15.1941680908,
23,15.4670362473,
24,15.7448062897,
25,16.0275630951,
26,16.3153991699,
27,16.6084041595,
28,16.906671524,
29,17.2102966309,
30,17.5193710327,
31,17.8339996338,
32,18.1542758942,
33,18.480304718,
34,18.8121871948,
35,19.1500320435,
36,19.4939441681,
37,19.8440322876,
38,20.2004070282,
39,20.5631828308,
40,20.932472229,
41,21.3083953857,
42,21.6910667419,
43,22.0806121826,
44,22.4771537781,
45,22.8808174133,
46,23.2917289734,
47,23.7100219727,
48,24.1358242035,
49,24.5692749023,
50,25.010509491,
51,25.4596672058,
52,25.9168930054,
53,26.3823280334,
54,26.8561248779,
55,27.3384284973,
56,27.8293933868,
57,28.3291740417,
58,28.8379325867,
59,29.3558273315,
60,29.8830223083,
61,30.4196853638,
62,30.9659881592,2.24086841345e-12
63,31.5220985413,2.25131465921e-12
64,32.0881996155,2.2585968815e-12
65,32.6644668579,2.26271031374e-12
66,33.2510795593,2.26384294532e-12
67,33.8482284546,2.26221968081e-12
68,34.4561004639,2.25809406727e-12
69,35.0748901367,2.25174761707e-12
70,35.7047958374,2.24346657372e-12
71,36.3460083008,2.23356448114e-12
72,36.9987411499,2.2223434657e-12
73,37.663192749,2.21011724601e-12
74,38.3395767212,2.19719662045e-12
75,39.0281143188,2.18388532916e-12
76,39.7290115356,2.17047416275e-12
77,40.4424972534,2.15723805776e-12
78,41.1687927246,2.14443533344e-12
79,41.9081344604,2.1323009096e-12
80,42.6607551575,2.12104535309e-12
81,43.4268913269,2.11085374717e-12
82,44.2067871094,2.10188253038e-12
83,45.0006866455,2.09425840891e-12
84,45.80884552,2.08808146791e-12
85,46.6315155029,2.08341977343e-12
86,47.468963623,2.08031180864e-12
87,48.3214492798,2.07875791756e-12
88,49.1892433167,2.07874984774e-12
89,50.0726242065,2.08026132122e-12
90,50.9718704224,2.08322941518e-12
91,51.887260437,2.08757327906e-12
92,52.8190917969,2.09319700486e-12
93,53.7676620483,2.09998987078e-12
94,54.7332649231,2.10783390591e-12
95,55.7162094116,2.1166016882e-12
96,56.7168045044,2.12616562838e-12
97,57.7353668213,2.13639656677e-12
98,58.7722244263,2.14716926053e-12
99,59.8277053833,2.15836455741e-12
100,60.9021377563,2.16987133834e-12
101,61.9958686829,2.18158958351e-12
102,63.1092376709,2.19343159218e-12
103,64.2426071167,2.20532277616e-12
104,65.3963241577,2.21720721851e-12
105,66.5707626343,2.22904738273e-12
106,67.7662963867,2.24082265457e-12
107,68.9832992554,2.25253049214e-12
108,70.22215271,2.26418930526e-12
109,71.4832611084,2.27583799788e-12
110,72.7670135498,2.28753192374e-12
111,74.0738220215,2.29935010294e-12
112,75.4040985107,2.31138966344e-12
113,76.7582702637,2.32376933887e-12
114,78.1367492676,2.33662439908e-12
115,79.5399932861,2.35011149011e-12
116,80.9684448242,2.36440347999e-12
117,82.4225311279,2.37969095597e-12
118,83.9027404785,2.39618211165e-12
119,85.409538269,2.41410187087e-12
120,86.9433898926,2.43368835994e-12
121,88.5047912598,2.45519281501e-12
122,90.0942230225,2.47887930844e-12
123,91.7122116089,2.5050224029e-12
124,93.3592529297,2.53390364917e-12
125,95.0358734131,2.56581171531e-12
126,96.7425994873,2.60103805887e-12
127,98.4799804688,2.63987702778e-12
128,100.248565674,2.68262201359e-12
129,102.048904419,2.72956084266e-12
130,103.881584167,2.78097770448e-12
131,105.747177124,2.83714827326e-12
132,107.646270752,2.8983346322e-12
133,109.579467773,2.96478877209e-12
134,111.54737854,3.03674821625e-12
135,113.550636292,3.11443473047e-12
136,115.589874268,3.19805291153e-12
137,117.665725708,3.28778890862e-12
138,119.77885437,3.38381288781e-12
139,121.929946899,3.48627677074e-12
140,124.119659424,3.5953143661e-12
141,126.348693848,3.71104648408e-12
142,128.617767334,3.83357636193e-12
143,130.927581787,3.96299654661e-12
144,133.278900146,4.09939063581e-12
145,135.672424316,4.24283340837e-12
146,138.108932495,4.39339716365e-12
147,140.589202881,4.55115368309e-12
148,143.114013672,4.71617694048e-12
149,145.684173584,4.88854601452e-12
150,148.300476074,5.06834931956e-12
151,150.963775635,5.25568871714e-12
152,153.674911499,5.45068078655e-12
153,156.4347229,5.65345842741e-12
154,159.244110107,5.86418201524e-12
155,162.103942871,6.08303212113e-12
156,165.015136719,6.31021444814e-12
157,167.978607178,6.54596554037e-12
158,170.995300293,6.79054817461e-12
159,174.066177368,7.04424652878e-12
160,177.192199707,7.30737537638e-12
161,180.374359131,7.58028097618e-12
162,183.613647461,7.86333141634e-12
163,186.911132812,8.15692249459e-12
164,190.267837524,8.46146762128e-12
165,193.684814453,8.77740467338e-12
166,197.163162231,9.10517873272e-12
167,200.703979492,9.44525752055e-12
168,204.308380127,9.79811194257e-12
169,207.977508545,1.01642272112e-11
170,211.712554932,1.05440912869e-11
171,215.514648438,1.09381925183e-11
172,219.385040283,1.13470085299e-11
173,223.324920654,1.17710042834e-11
174,227.335571289,1.22106427269e-11
175,231.418243408,1.26663666427e-11
176,235.574234009,1.31386316605e-11
177,239.804870605,1.36278409829e-11
178,244.111480713,1.41344086479e-11
179,248.495422363,1.46587195197e-11
180,252.958099365,1.52011440845e-11
181,257.500915527,1.57620498421e-11
182,262.125305176,1.63417609355e-11
183,266.832763672,1.69406157011e-11
184,271.624786377,1.75589301163e-11
185,276.502838135,1.81970318493e-11
186,281.468505859,1.88552221415e-11
187,286.52331543,1.95338234004e-11
188,291.668945312,2.02331631267e-11
189,296.906982422,2.0953589076e-11
190,302.239074707,2.16954741933e-11
191,307.666931152,2.24592056377e-11
192,313.192260742,2.32452107414e-11
193,318.816802979,2.40539443915e-11
194,324.542358398,2.48859401064e-11
195,330.370758057,2.57417363947e-11
196,336.303833008,2.66219156309e-11
197,342.343444824,2.75271325668e-11
198,348.491516113,2.84580283231e-11
199,354.75,2.94153071399e-11
200,361.120910645,3.03996987531e-11
201,367.606201172,3.14119772158e-11
202,374.207946777,3.24528818322e-11
203,380.928283691,3.35231735062e-11
204,387.769287109,3.4623634112e-11
205,394.733154297,3.57549501191e-11
206,401.82208252,3.69178438451e-11
207,409.038330078,3.81130275029e-11
208,416.384155273,3.9341106417e-11
209,423.861938477,4.06021889205e-11
210,431.473968506,4.18968393352e-11
211,439.222717285,4.32256884008e-11
212,447.110656738,4.45891194265e-11
213,455.140197754,4.59874539418e-11
214,463.313995361,4.74209990625e-11
215,471.634552002,4.88900068743e-11
216,480.104553223,5.03947078605e-11
217,488.726623535,5.19352988139e-11
218,497.503601074,5.35119569918e-11
219,506.438171387,5.51247851087e-11
220,515.533203125,
221,524.791503906,
222,534.216186523,
223,543.810058594,
224,553.576171875,
225,563.51776123,
226,573.637878418,
227,583.939697266,
228,594.426574707,
229,605.101806641,
230,615.96862793,
231,627.030700684,
232,638.291442871,
233,649.754394531,
234,661.423217773,
235,673.301513672,
236,685.393249512,
237,697.702087402,
238,710.231933594,
239,722.986877441,
240,735.970825195,
241,749.187988281,
242,762.642578125,
243,776.338684082,
244,790.280761719,
245,804.473266602,
246,818.920654297,
247,833.627441406,
248,848.598388672,
249,863.838256836,
250,879.35168457,
251,895.143798828,
252,911.219543457,
253,927.583984375,
254,944.242248535,
255,961.199707031,
256,978.461669922,
257,996.033691406,
258,1013.92126465,
259,1032.13012695,
260,1050.66589355,
261,1069.5345459,
262,1088.7421875,
263,1108.29467773,
264,1128.19824219,
265,1148.45935059,
266,1169.08422852,
267,1190.07958984,
268,1211.45214844,
269,1233.20825195,
270,1255.35522461,
271,1277.89990234,
272,1300.8494873,
273,1324.21118164,
274,1347.99243164,
275,1372.20068359,
276,1396.84375,
277,1421.92944336,
278,1447.46557617,
279,1473.46032715,
280,1499.921875,
281,1526.85864258,
282,1554.27929688,
283,1582.19226074,
284,1610.60644531,
285,1639.53100586,
286,1668.97509766,
287,1698.94787598,
288,1729.45898438,
289,1760.51794434,
290,1792.13476562,
291,1824.31933594,
292,1857.08178711,
293,1890.43286133,
294,1924.3828125,
295,1958.94238281,
296,1994.12255859,
297,2029.93457031,
